Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
1980,0.554,0.574,0.593,0.634,0.663,0.701,0.753,0.807,0.702,0.570,0.496,0.503, 
1981,0.512,0.504,0.525,0.529,0.531,0.546,0.577,0.662,0.630,0.565,0.582,0.617, 
1982,0.639,0.645,0.648,0.630,0.667,0.722,0.733,0.683,0.627,0.580,0.537,0.556, 
1983,0.545,0.538,0.532,0.559,0.584,0.615,0.622,0.673,0.707,0.574,0.562,0.568, 
1984,0.579,0.608,0.640,0.644,0.645,0.682,0.712,0.732,0.717,0.635,0.651,0.636, 
1985,0.654,0.676,0.677,0.695,0.710,0.723,0.721,0.705,0.671,0.639,0.665,0.675, 
1986,0.689,0.727,0.720,0.728,0.770,0.830,0.859,1.015,0.925,0.691,0.665,0.662, 
1987, , ,0.741,0.750,0.783,0.862,0.884,0.815,0.729,0.618,0.546,0.547, 
1988,0.571,0.636,0.635,0.643,0.643,0.689,0.797,1.006,0.957,0.768,0.704,0.706, 
1989,0.729,0.749,0.741,0.697,0.697,0.692,0.682,0.740,0.719,0.649,0.590,0.573, 
1990,0.601,0.632,0.652,0.650,0.653,0.697,0.750,0.832,0.877,0.765,0.741,0.772, 
1991,0.810,0.838,0.843,0.860,0.892,0.936,0.956,0.964,0.974,0.846,0.839,0.864, 
1992,0.876,0.886,0.899,0.913,0.925,0.962,0.991,1.015,0.933,0.765,0.753,0.764, 
1993,0.810,0.817,0.802,0.802,0.815,0.835,0.854,0.904,0.939,0.850,0.798,0.778, 
1994,0.789,0.810,0.804,0.803,0.806,0.822,0.848,0.881,0.874,0.745,0.735,0.722, 
1995,0.765,0.789,0.793,0.784,0.813,0.833,0.864,0.901,0.923,0.863,0.853,0.834, 
1996,0.877,0.877,0.894,0.915,0.921,0.954,0.976,0.998,1.006,0.949,0.907,0.886, 
1997,0.907,0.912,0.914,0.895,0.912,0.914,0.918,0.935,0.933,0.881,0.864,0.897, 
1998,0.922,0.960,0.962,0.949,0.974,0.955,1.000,0.990,0.971,0.902,0.878,0.854, 
1999,0.860,0.870,0.852,0.870,0.881,0.893,0.905,0.921,0.972,0.919,0.902,0.918, 
2000,0.952,0.974,0.960,0.957,0.927,0.918,0.940,0.928,0.922,0.899,0.833,0.816, 
2001,0.808,0.830,0.845,0.834,0.848,0.890,0.892,0.898,0.874,0.894,0.915,0.893, 
2002,0.877,0.892,0.915,0.910,0.921,0.938,0.968,0.977,1.011,1.001,0.980,0.985, 
2003,0.977,0.968,0.948,0.972,0.992,0.992,1.006,1.016,1.023,0.936,0.970,0.957, 
2004,1.019,1.050,1.050,1.040,1.065,1.076,1.099,1.104,1.085,0.992,0.985,0.950, 
2005,0.966,0.974,0.920,0.869,0.915,0.974,0.965,0.977,0.967,0.940,0.955,0.971, 
2006,0.963,0.977,0.935,0.958,1.021,1.053,1.146,1.235,1.256,1.138,1.089,1.027, 
2007,1.034,1.072,1.068,1.104,1.112,1.130,1.184,1.194,1.178,1.083,1.103,1.121, 
2008,1.161,1.176,1.209,1.205,1.254,1.362,1.452,1.580,1.584,1.417,1.259,1.179, 
2009,1.233,1.191,1.195,1.202,1.147,1.183,1.193,1.217,1.212,1.129,1.163,1.114, 
2010,1.141,1.153,1.173,1.200,1.259,1.262,1.290,1.305,1.259,1.180,1.225,1.196, 
2011,1.241,1.311,1.283,1.345,1.306,1.317,1.374,1.529,1.505,1.409,1.318,1.266, 
2012,1.272,1.282,1.284,1.257,1.294,1.377,1.435,1.504, , , , ,
